#title,HAXPES_TEC10E50E H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10E50E

16.6137,372112
16.5637,368827
16.5137,371440
16.4637,372058
16.4137,369366
16.3637,369324
16.3137,370167
16.2637,364752
16.2137,358721
16.1637,367764
16.1137,365603
16.0637,362634
16.0137,364551
15.9637,357540
15.9137,358628
15.8637,360341
15.8137,365388
15.7637,359504
15.7137,357863
15.6637,359813
15.6137,355183
15.5637,350871
15.5137,354008
15.4637,355959
15.4137,359851
15.3637,357896
15.3137,354887
15.2637,346527
15.2137,347275
15.1637,345989
15.1137,348863
15.0637,356731
15.0137,355301
14.9637,355410
14.9137,357579
14.8637,352648
14.8137,356477
14.7637,355337
14.7137,352277
14.6637,357773
14.6137,360411
14.5637,359484
14.5137,352067
14.4637,358458
14.4137,360224
14.3637,356379
14.3137,361413
14.2637,363618
14.2137,358232
14.1637,357068
14.1137,360944
14.0637,369620
14.0137,364964
13.9637,360900
13.9137,362718
13.8637,357704
13.8137,362263
13.7637,367604
13.7137,362725
13.6637,362890
13.6137,367503
13.5637,366528
13.5137,360659
13.4637,357627
13.4137,362966
13.3637,367816
13.3137,364274
13.2637,363101
13.2137,366178
13.1637,366141
13.1137,362841
13.0637,355687
13.0137,359434
12.9637,367768
12.9137,369959
12.8637,372283
12.8137,368832
12.7637,371144
12.7137,373802
12.6637,371231
12.6137,369733
12.5637,376119
12.5137,376369
12.4637,375551
12.4137,376362
12.3637,375337
12.3137,370924
12.2637,382536
12.2137,385536
12.1637,368683
12.1137,367930
12.0637,370412
12.0137,370867
11.9637,377780
11.9137,379360
11.8637,378852
11.8137,380504
11.7637,380572
11.7137,377351
11.6637,378614
11.6137,377133
11.5637,380453
11.5137,381468
11.4637,383018
11.4137,387793
11.3637,393273
11.3137,385805
11.2637,386931
11.2137,393561
11.1637,396975
11.1137,393816
11.0637,403884
11.0137,400532
10.9637,402340
10.9137,401353
10.8637,404401
10.8137,409389
10.7637,408618
10.7137,404017
10.6637,404074
10.6137,407597
10.5637,414041
10.5137,411180
10.4637,419084
10.4137,424100
10.3637,425358
10.3137,422850
10.2637,430360
10.2137,429426
10.1637,425640
10.1137,431125
10.0637,441645
10.0137,441746
9.96367,436959
9.91367,440167
9.86367,448342
9.81367,451134
9.76367,457167
9.71367,457408
9.66367,462791
9.61367,464977
9.56367,466503
9.51367,471932
9.46367,476615
9.41367,482523
9.36367,478339
9.31367,478632
9.26367,481790
9.21367,491245
9.16367,491531
9.11367,496676
9.06367,494057
9.01367,488550
8.96367,495177
8.91367,505669
8.86367,515437
8.81367,519047
8.76367,520738
8.71367,526792
8.66367,533335
8.61367,538982
8.56367,538474
8.51367,544298
8.46367,546185
8.41367,541411
8.36367,553653
8.31367,562103
8.26367,565243
8.21367,571400
8.16367,576699
8.11367,588248
8.06367,589408
8.01367,599154
7.96367,606473
7.91367,608223
7.86367,617704
7.81367,620516
7.76367,636647
7.71367,653433
7.66367,651011
7.61367,655636
7.56367,659140
7.51367,659091
7.46367,681247
7.41367,691751
7.36367,706060
7.31367,718052
7.26367,722972
7.21367,734921
7.16367,751940
7.11367,767493
7.06367,778278
7.01367,781420
6.96367,791070
6.91367,806038
6.86367,816274
6.81367,838848
6.76367,849650
6.71367,851667
6.66367,860118
6.61367,864225
6.56367,867044
6.51367,891386
6.46367,899185
6.41367,901154
6.36367,916821
6.31367,930343
6.26367,952635
6.21367,953975
6.16367,975120
6.11367,978238
6.06367,978257
6.01367,990940
5.96367,992579
5.91367,1.00266e+06
5.86367,1.01524e+06
5.81367,1.01959e+06
5.76367,1.03374e+06
5.71367,1.04468e+06
5.66367,1.04952e+06
5.61367,1.05531e+06
5.56367,1.06649e+06
5.51367,1.08534e+06
5.46367,1.09311e+06
5.41367,1.0954e+06
5.36367,1.11193e+06
5.31367,1.12105e+06
5.26367,1.12329e+06
5.21367,1.14737e+06
5.16367,1.16494e+06
5.11367,1.16139e+06
5.06367,1.17504e+06
5.01367,1.18112e+06
4.96367,1.18108e+06
4.91367,1.20423e+06
4.86367,1.22279e+06
4.81367,1.234e+06
4.76367,1.24509e+06
4.71367,1.26227e+06
4.66367,1.27416e+06
4.61367,1.292e+06
4.56367,1.29878e+06
4.51367,1.28499e+06
4.46367,1.28352e+06
4.41367,1.30705e+06
4.36367,1.31859e+06
4.31367,1.31973e+06
4.26367,1.32669e+06
4.21367,1.30863e+06
4.16367,1.3034e+06
4.11367,1.29792e+06
4.06367,1.29892e+06
4.01367,1.29906e+06
3.96367,1.28037e+06
3.91367,1.251e+06
3.86367,1.23236e+06
3.81367,1.22003e+06
3.76367,1.2e+06
3.71367,1.18878e+06
3.66367,1.16792e+06
3.61367,1.14616e+06
3.56367,1.13195e+06
3.51367,1.12063e+06
3.46367,1.11794e+06
3.41367,1.10544e+06
3.36367,1.09322e+06
3.31367,1.08632e+06
3.26367,1.07988e+06
3.21367,1.07661e+06
3.16367,1.08203e+06
3.11367,1.10265e+06
3.06367,1.10846e+06
3.01367,1.11092e+06
2.96367,1.11891e+06
2.91367,1.13844e+06
2.86367,1.15293e+06
2.81367,1.17018e+06
2.76367,1.1711e+06
2.71367,1.17797e+06
2.66367,1.20148e+06
2.61367,1.21811e+06
2.56367,1.22558e+06
2.51367,1.22398e+06
2.46367,1.23208e+06
2.41367,1.23496e+06
2.36367,1.23355e+06
2.31367,1.25214e+06
2.26367,1.2561e+06
2.21367,1.26092e+06
2.16367,1.27108e+06
2.11367,1.26234e+06
2.06367,1.28102e+06
2.01367,1.28206e+06
1.96367,1.2774e+06
1.91367,1.27546e+06
1.86367,1.27647e+06
1.81367,1.2791e+06
1.76367,1.27511e+06
1.71367,1.26154e+06
1.66367,1.25966e+06
1.61367,1.24075e+06
1.56367,1.23707e+06
1.51367,1.23415e+06
1.46367,1.22723e+06
1.41367,1.21263e+06
1.36367,1.21264e+06
1.31367,1.20613e+06
1.26367,1.20119e+06
1.21367,1.19727e+06
1.16367,1.18352e+06
1.11367,1.18114e+06
1.06367,1.1811e+06
1.01367,1.16633e+06
0.963672,1.157e+06
0.913672,1.14562e+06
0.863672,1.13729e+06
0.813672,1.12737e+06
0.763672,1.12456e+06
0.713672,1.12134e+06
0.663672,1.12212e+06
0.613672,1.10298e+06
0.563672,1.09016e+06
0.513672,1.09094e+06
0.463672,1.09263e+06
0.413672,1.08603e+06
0.363672,1.08423e+06
0.313672,1.08346e+06
0.263672,1.05761e+06
0.213672,1.00976e+06
0.163672,954261
0.113672,855123
0.063672,712375
0.013672,555879
-0.036328,387532
-0.086328,229719
-0.136328,122516
-0.186328,57733.3
-0.236328,25090.2
-0.286328,11884.9
-0.336328,7230.19
-0.386328,5455.27
-0.436328,5003.27
-0.486328,4747.36
-0.536328,4109.42
-0.586328,3798.63
-0.636328,3411.52
-0.686328,2733.07
-0.736328,2718.81
-0.786328,3273.16
-0.836328,3230.49
-0.886328,2358.46
-0.936328,1688.82
-0.986328,1663.74
-1.03633,1028.3
-1.08633,1295
-1.13633,2062.45
-1.18633,1940.14
-1.23633,1876.52
-1.28633,1754.11
-1.33633,1216.48
-1.38633,986.941
-1.43633,1246.45
-1.48633,885.117
-1.53633,533.391
-1.58633,936.426
-1.63633,1172.33
-1.68633,888.462
-1.73633,444.432
-1.78633,295.839
-1.83633,311.236
-1.88633,697.141
-1.93633,867.751
-1.98633,733.027
-2.03633,707.939
-2.08633,669.779
-2.13633,1441.7
-2.18633,817.12
-2.23633,408.312
-2.28633,868.675
-2.33633,1304.41
-2.38633,808.693
-2.43633,436.511
-2.48633,445.733
-2.53633,534.186
-2.58633,502.879
-2.63633,245.118
-2.68633,443.679
-2.73633,524.937
-2.78633,925.792
-2.83633,643.636
-2.88633,937.134
-2.93633,720.386
-2.98633,435.542
-3.03633,832.812
-3.08633,1168.43
-3.13633,1357.71
-3.18633,783.266
-3.23633,488.08
-3.28633,1012.62
